belongs_to_collection,budget,genres,id,original_language,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,cast,name_director,release_year,return
,0,Drama,781,de,"Young blonde translator Rebecca lives with her boyfriend ski instructor Marco in a mountain villa owned by her friend, nurse Laura. Rene, local cinema projectionist, steals Marco's car and gets into a car crash with local Theo, whose daughter, after being in coma for a time, dies. Rene suffers from partial short term memory loss and starts a relationship with Laura. Meanwhile Marco is looking for the man who stole his car and Theo - for the man who killed his daughter...",1.781979,X-Filme Creative Pool,Germany,1997-10-30,0.0,120.0,Deutsch,Released,,Wintersleepers,6.7,10.0,"Ulrich Matthes, Marie-Lou Sellem, Floriane Daniel",Tom Tykwer,1997,0.0
,0,,183252,en,A cab driver and an opera fan strike up an unusual friendship.,0.083899,,,1991-02-15,0.0,107.0,,Released,,Perfectly normal,5.5,1.0,"Robbie Coltrane, Michael Riley",Yves Simoneau,1991,0.0
,800000,"Drama, Romance, Thriller, Crime",24065,en,"California teen Anita Minteer struggles in the face of an absentee mother, her mom's abusive boyfriend, Rooney, and a lack of respect from her classmates. This all changes when a pen-pal school project connects her with convict Howard. Anita secures Howard's parole and violently squares off against Rooney after he rapes her. Soon enough, the gun-crazy teen is on the run with Howard, with his parole officer in pursuit.",4.797893,Zeta Entertainment,United States of America,1992-09-11,0.0,97.0,English,Released,Love made them crazy. Guns made them outlaws.,Guncrazy,5.0,12.0,"Drew Barrymore, Robert Greenberg, James Le Gros",Tamra Davis,1992,0.0
Sniper Collection,0,"Action, Drama, Thriller",9545,en,Tough guy Thomas Beckett is an US soldier working in the Panamanian jungle. His job is to seek out rebels and remove them using his sniper skills. Beckett is notorious for losing his partners on such missions. This time he's accompanied by crack marksman Richard Miller.,9.337393,"TriStar Pictures, Iguana Producciones, Baltimore Pictures, Sniper Productions","Peru, United States of America",1993-01-29,18994653.0,98.0,English,Released,One Shot. One Kill. No Exceptions.,Sniper,5.9,109.0,"Tom Berenger, Billy Zane, J.T. Walsh",Luis Llosa,1993,0.0
,0,"Comedy, Drama",53117,fr,"Based on the alleged autobiography of gay peruvian talk show host Jaime Bailey. Joaquin, a young man from the high class of Lima, deals with problems concerning his sexual identity as a child, then as a teenager pressured by his macho snobbish father, then as an independent lazy pot-smoking college student, and later as a cocaine addict in Lima and Miami.",0.802286,,"Peru, Spain",1998-07-16,0.0,120.0,Español,Released,La historia más escandalosa de Lima,Don't Tell Anyone,5.5,6.0,"Santiago Magill, Christian Meier, Lucía Jiménez",Francisco J. Lombardi,1998,0.0
,0,"Horror, Science Fiction, Thriller",41651,en,"Karl, a technician in a computer shop, is also the ""Address Book Killer,"" who obtains the names of his victims from stolen address books. Terry and her son Josh come into the store to price software, and a salesman uses Terry's address book to demonstrate a hand-held scanner. Karl obtains the file, and while driving to Terry's house that night in a heavy rainstorm, his car runs off the road and lands upside down in a cemetery. While Karl is undergoing a CAT scan at the hospital, a surge of lightning courses through the building, and Karl's soul is transformed into electrical energy. Karl uses the electrical grid and computer networks to continue his killing spree.",2.404331,Twentieth Century Fox Film Corporation,United States of America,1993-12-29,0.0,104.0,English,Released,Plug in to your worst nightmare,Ghost in the Machine,5.0,19.0,"Karen Allen, Chris Mulkey, Rick Ducommun",Rachel Talalay,1993,0.0
,0,"Documentary, Music",28030,en,"Blind blues musician Paul Pena is perhaps best known for his song ""Jet Airliner"". In 1993, Pena heard Tuvan throat singing over his shortwave radio and subsequently taught himself how to reproduce these extraordinary sounds. This documentary follows him to Tuva, where he takes part in a throat singing competition.",0.692364,Wadi Rum Productions,,1999-07-19,0.0,87.0,English,Released,,Genghis Blues,6.4,6.0,"Paul Pena, Kongar-ol Ondar",Roko Belic,1999,0.0
,0,"Drama, War",49320,fi,It is the summer of 1941 and the Finnish army has been mobilized along the border with Russia. A platoon led by Lt. Eero Perkola is waiting for orders to go on the offensive. The platoon receives orders for a recon mission through the wilderness around the Lieksa lake to search for possible Russian defensive positions.,0.999465,"SVT Drama, Matila Röhr Productions (MRP), Yleisradio (YLE)",Finland,1999-01-22,0.0,123.0,suomi,Released,,Ambush,6.3,13.0,"Peter Franzén, Irina Björklund, Kari Heiskanen",Olli Saarela,1999,0.0
Babylon 5 Collection,0,"Action, Drama, Science Fiction, Adventure",10916,en,"Allies of the Shadows seek revenge against humanity. This movie sets up the series, ""Crusade,"" the sequel to ""Babylon 5.""",8.389329,"Babylonian Productions, Turner Network Television (TNT)",United States of America,1999-01-03,0.0,94.0,English,Released,,Babylon 5: A Call to Arms,6.9,36.0,"Bruce Boxleitner, Jerry Doyle, Jeff Conaway",Michael Vejar,1999,0.0
Babylon 5 Collection,0,"Action, Drama, Science Fiction, Adventure",10921,en,A group of Soul Hunters come to Babylon 5 demanding the return of something that was stolen from them.,2.203009,"Babylonian Productions, Turner Network Television (TNT)",United States of America,1998-11-08,0.0,94.0,English,Released,,Babylon 5: The River of Souls,6.1,29.0,"Jerry Doyle, Tracy Scoggins, Jeff Conaway",Janet Greek,1998,0.0
Babylon 5 Collection,0,"Action, Drama, Science Fiction, Adventure",10941,en,"Susan Ivanova discovers a derelict spaceship in hyperspace. They tow it back to Babylon 5, then strange things start happening. People are being telepathically taken over by aliens from another (third)space.",5.579911,"Babylonian Productions, Turner Network Television (TNT)",United States of America,1998-07-19,0.0,94.0,English,Released,One mistake. One mistake out of so many. So many others.,Babylon 5: Thirdspace,6.4,39.0,"Bruce Boxleitner, Claudia Christian, Mira Furlan",Jesús Salvador Treviño,1998,0.0
,0,"Romance, Drama",171229,en,"Diego is a doctor who has fallen in love with a married man with a son. Against the advice of his boss and best friend, he continues his affair with Alberto. The consequences of this affair profoundly alter not only the two men's lives, but also that of Alberto's wife.",0.831471,,,1999-12-13,0.0,100.0,Español,Released,What would you do if you discover that your husband is cheating?,Second Skin,6.3,6.0,"Javier Bardem, Jordi Mollà, Ariadna Gil",Gerardo Vera,1999,0.0
,0,"Drama, Romance",45926,en,"Axel Heyst is an American recluse with a dubious past living in the Dutch East Indies port of Surabaya circa 1913. Staying in a German hotel there, Heyst becomes entranced with a member of the hotel's all-female orchestra.",1.064921,,,1996-12-13,0.0,99.0,English,Released,,Victory,4.7,3.0,"Willem Dafoe, Sam Neill, Irène Jacob",Mark Peploe,1996,0.0
The Legend Collection,0,"Adventure, Action, Comedy",17653,cn,"This Hong Kong martial-arts extravaganza tells of evil emperors and true love. The secret Red Lotus Flower Society is committed to the overthrow of the evil Manchu Emperor and his minions. One of his Governors is sent on a mission to retrieve a list of members of that secret society. Meanwhile, Canton kung fu practitioner Fong Sai-Yuk falls in love with the beautiful daughter of a rich merchant.",3.782615,Eastern Productions,Hong Kong,1993-03-04,3956913.0,106.0,广州话 / 廣州話,Released,,The Legend I,7.1,45.0,"Jet Li, Josephine Siao, Vincent Zhao",Corey Yuen Kwai,1993,0.0
Tremors Collection,4000000,"Horror, Action, Comedy, Science Fiction",11069,en,"Those supersucking desert creatures are back --- and this time they're south of the border. As the creatures worm their way through the oil fields of Mexico, the only people who can wrangle them are veteran Earl Bassett and survivalist Burt Gummer. Add to that team a young punk out for cash and a fearless scientist, and the critters don't stand a chance.",9.877868,"MCA/Universal Pictures, Stampede Entertainment",United States of America,1996-04-09,0.0,100.0,"English, Español",Released,The Worms have turned.,Tremors 2: Aftershocks,5.9,209.0,"Fred Ward, Chris Gartin, Helen Shaver",S. S. Wilson,1996,0.0
,0,Comedy,8468,en,"A naive Canadian barber who knows US popular culture inside and out meets a flamboyant roadie who needs someone to drive her and her ""brother's"" corpse from Thunder Bay, Ontario to New Orleans.  Chaos ensues after the barber agrees to drive her, the corpse, and the drugs stashed within all the way.  Don McKellar and Valerie Buhagiar team up as a barber and a smuggler running a corpse on the roof of a '63 Ford Galaxy 500 on a one-car funeral procession stretching from Northern Ontario to New Orleans on the only continuous highway between Canada an the U.S.  What unfolds is a white trash odyssey filled with strange roadside distractions played eagerly by the likes of Peter Breck, Jello Biafra and Art Bergmann.  If you've seen the bookends of this trilogy, Hard Core Logo and Roadkill, then you know that in any Bruce McDonald film, the asphalt has a speaking part.",1.078271,Shadow Stars,"Canada, United States of America",1991-09-05,0.0,103.0,English,Released,Where Else Would You Go To Bury Rock N' Roll?,Highway 61,6.0,7.0,"Don McKellar, Valerie Buhagiar, Earl Pastko",Bruce McDonald,1991,0.0
,0,"Action, Comedy",10686,ja,"Three centuries ago, a precious sword has been stolen by Kazamatsuri -- the sword, which historic and symbolic value is priceless for the clan (Shogun Tokugawa donated it to clan 80 years before that, at the same time that he established them as the local rulers). Lord's counselor's young son Heishiro goes to retrieve the sword himself to protect the clan from the shame or possible demise. He is accompanied with two friends, Shintaro and Tadasuke, and followed by the ninjas of the clan. After Kazamatsuri wounds Heishiro and kills one of his friends, the young aristocrat still wants revenge more than sword itself, but meanwhile have to recover from his wounds, in the small forest house of a lonely samurai and his daughter. At the same time, Kamazatsuri stays in nearby town in the entertainment center run by Okatsu and falls into her. The older samurai tries to dissuade Heishiro from fighting with Kamazatsuri, but is himself gradually drawn into the conflict.",3.121214,Pony Canyon Enterprises,Japan,1998-10-27,0.0,111.0,日本語,Released,,Samurai Fiction,6.9,18.0,"Morio Kazama, Tomoyasu Hotei, Tamaki Ogawa",Hiroyuki Nakano,1998,0.0
,7000000,Drama,25598,en,"An intensely sad film about two brothers who cannot overcome their opposite perceptions of life. One brother sees and feels bad in everyone and everything, subsequently he is violent, antisocial and unable to appreciate or enjoy the good things which his brother desperately tries to point out to him.",7.218957,"Metro-Goldwyn-Mayer (MGM), NHK, Mico, Mount Film Group","Japan, United States of America",1991-05-19,191125.0,127.0,English,Released,,The Indian Runner,6.2,23.0,"David Morse, Viggo Mortensen, Valeria Golino",Sean Penn,1991,0.027303571428571427
,6000000,"Comedy, Drama, Horror, Mystery, Thriller",13122,en,"When young Fool breaks into the home of his family's greedy and uncaring landlords, he discovers a disturbing scenario where incestuous adult siblings have mutilated a number of boys and kept them imprisoned under stairs in their large, creepy house. As Fool attempts to flee before the psychopaths can catch him, he meets their daughter, Alice, who has been spared any extreme discipline by her deranged parents. Can Fool and Alice escape before it's too late?",12.709349,"Universal Pictures, Alive Films",United States of America,1991-11-01,0.0,102.0,English,Released,In every neighborhood there is one house that adults whisper about and children cross the street to avoid.,The People Under the Stairs,6.4,150.0,"Brandon Quintin Adams, Everett McGill, Ving Rhames",Wes Craven,1991,0.0
,0,Comedy,55730,en,"Debbie and Gerald's lives drastically change after they get a gun. Their mysterious neighbor, Skippy, becomes an important and transforming figure in their lives.",0.178585,IRS Media,United States of America,1992-10-26,0.0,99.0,English,Released,A comedy about the American dream.,My New Gun,6.0,2.0,"Diane Lane, James Le Gros, Tess Harper",Stacy Cochran,1992,0.0
,0,Drama,107499,en,A high school outcast new to town becomes friends with a violent loner still haunted by the death of his parents.,0.33244,View Askew Productions,United States of America,1997-09-01,0.0,87.0,,Released,,A Better Place,9.0,1.0,"Eion Bailey, Robert DiPatri, Joseph Cassese",Vincent Pereira,1997,0.0
,0,"Comedy, Fantasy, Family",101363,en,"Gomez is a middle-aged man who dreams of buying a gorgeous white suit in a nearby store, but doesn't have enough cash. He finds 4 more people of same size, who each give $20 and get to wear the suit for an hour each in return. But the suit is not just a suit - it makes wishes of the one wearing it come true.",0.086764,,,1998-01-23,0.0,77.0,,Released,,The Wonderful Ice Cream Suit,0.0,0.0,"Edward James Olmos, Joe Mantegna, Esai Morales",Stuart Gordon,1998,0.0
,25000000,"Comedy, Science Fiction, Thriller, Adventure",10690,en,John Canyon is one of the last independent space transport entrepreneurs. Rough times force him to carry suspicious cargo to Earth without questions being asked. During the flight the cargo turns out to be multitude of unstoppable and deadly killer robots.,3.596317,"Goldcrest Films International, Peter Newman/Interal, Mary Breen-Farrelly Productions, Irish Film Industry, Pachyderm Production","Ireland, United Kingdom, United States of America",1996-03-01,1614266.0,95.0,English,Released,Earth's Only Hope,Space Truckers,5.6,38.0,"Dennis Hopper, Stephen Dorff, Debi Mazar",Stuart Gordon,1996,0.06457064
,0,"Drama, Music, Romance",22627,en,"Dusty Chandler (Strait) is a super star in the country music world, but his shows have the style of a '70s rock concert. One day he takes a walk - out of his overdone concerts to find his real country roots. He's helped and hindered by friends and staff, but pushes on in his search for a real music style as well as a real romance.",2.803846,,United States of America,1992-10-23,0.0,112.0,English,Released,Bright Lights. Hit Songs. Country's biggest star. He'd trade it all to find the kind of love he'd only sung about.,Pure Country,6.8,18.0,"George Strait, Lesley Ann Warren, Isabel Glasser",Christopher Cain,1992,0.0
,0,Drama,13823,en,"PK, an English orphan terrorized for his family's political beliefs in Africa, turns to his only friend, a kindly world-wise prisoner, Geel Piet. Geel teaches him how to box with the motto “fight with your fists and lead with your heart”. As he grows to manhood, PK uses these words to take on the system and the injustices he sees around him - and finds that one person really can make a difference.",14.14735,"Village Roadshow Pictures, Regency Enterprises, Alcor Films, Canal+, Warner Bros.","United Kingdom, United States of America, Zimbabwe",1992-09-17,0.0,127.0,"English, Deutsch",Released,An exhilarating epic of a triumph of the heart.,The Power of One,7.6,46.0,"Stephen Dorff, Armin Mueller-Stahl, Alois Moyo",John G. Avildsen,1992,0.0
,0,"Comedy, Drama, Family",4291,ja,"Brash, loudmouthed and opportunistic, Kikujiro is the unlikely companion for Masao who is determined to see the mother he has never met. The two begin a series of adventures which soon turns out to be a whimsical journey of laughter and tears with a wide array of surprises and unique characters along the way.",4.75173,"Bandai Visual Company, Office Kitano, Nippon Herald Films, Tokyo FM Broadcasting Co.",Japan,1999-06-05,0.0,117.0,日本語,Released,,Kikujiro,7.5,90.0,"Takeshi Kitano, Yusuke Sekiguchi, Kayoko Kishimoto",Takeshi Kitano,1999,0.0
,14000000,"Music, Drama, Romance",27804,en,Miranda Presley moves from New York to Nashville to become a song writer. At an unsuccessful audition she meets James Wright a promising newcomer. After only a few days they marry but start to quickly regret it. This is River Phoenix's last movie and you can see the end coming...,2.923094,Paramount Pictures,United States of America,1993-07-16,0.0,116.0,English,Released,,The Thing Called Love,6.5,41.0,"River Phoenix, Samantha Mathis, Dermot Mulroney",Peter Bogdanovich,1993,0.0
,0,Drama,46187,ru,"In 1946, a soldier fathers a child then dies before its birth. Jump to 1952: on a train, the child and his mother meet a handsome soldier who makes a play for her. She accepts. Posing as a married family, the soldier finds them a rooming house where he becomes everyone's favorite through his good looks and generosity. Meanwhile he gives the boy, Sanya, lessons in life: to fight back, to win at all costs. The child's mother, Katya, is head-over-heels in love with Tolyan, the soldier, but the relationship becomes rocky when Tolyan's true plans for the rooming house become clear. It starts them on a treadmill of flight that risks Katya's life, Tolyan's liberty, and Sanya's trust.",1.212375,,"Russia, France",1997-08-31,0.0,96.0,Pусский,Released,,The Thief,7.1,21.0,"Vladimir Mashkov, Yekaterina Rednikova, Amaliya Mordvinova",Pavel Chukhray,1997,0.0
,0,"Crime, Horror, Thriller",39434,it,A young policewoman slowly goes insane while tracking down an elusive serial rapist/killer through Italy when she herself becomes a victim of the brutal man's obsession.,3.326404,"Cine 2000, Medusa Film",Italy,1996-01-26,0.0,120.0,Italiano,Released,,The Stendhal Syndrome,5.6,40.0,"Asia Argento, Thomas Kretschmann, Marco Leonardi",Dario Argento,1996,0.0
,0,"Crime, Comedy, Action",105130,ja,"An unemployed man trying to steal from a convenience store, and the store clerk catches him in the act... the thief runs away with the store-clerk right after him. All the while, the store clerk is in trouble with a low-rank yakuza. Along the chase for the thief, they catch the eye of the Yakuza who's been looking for the convenience store clerk",0.451158,,Japan,1996-11-09,0.0,82.0,日本語,Released,,Dangan Runner,7.0,1.0,"Shinichi Tsutsumi, Tomorowo Taguchi, Diamond Yukai",SABU,1996,0.0
,0,Comedy,32450,en,"Three manic idiots; a lawyer, cab driver and a handyman team up to run a ballet company to fulfill the will of a millionaire. Stooge-like antics result as the trio try to outwit the rich widow and her scheming big-shot lawyer, who also wants to run the ballet.",5.141952,Paramount Pictures,United States of America,1992-04-17,918239.0,92.0,English,Released,Three bozos. One ballet company. Tutu many laughs!,Brain Donors,6.1,18.0,"Mel Smith, Bob Nelson, John Turturro",Dennis Dugan,1992,0.0
,0,Comedy,62383,en,A bunch of eccentric relatives gather for their patriarch's funeral.,0.232637,"Hollywood Pictures, Touchwood Pacific Partners 1",United States of America,1992-04-24,0.0,96.0,,Released,,Passed Away,0.0,0.0,"Bob Hoskins, Blair Brown, Tim Curry",Charlie Peters,1992,0.0
,0,Drama,38749,en,"Story of the relationships between two sons and their father, who moves the family to California and becomes a tv horror show host after the death of his wife.",5.063771,"Twentieth Century Fox Film Corporation, American Filmworks, Lucky Dog Productions Inc.",United States of America,1993-04-02,0.0,99.0,English,Released,,Jack the Bear,5.9,14.0,"Danny DeVito, Gary Sinise, Julia Louis-Dreyfus",Marshall Herskovitz,1993,0.0
,0,"Horror, Mystery",34288,en,"Bristling with equipment, two enthusiastic local access cable TV producers recruit an assistant and venture into a forest in search of the mythical and horrifying Jersey Devil. Days later, only one of the trio emerges. He becomes the prime suspect in the disappearances of the other two. However, a local filmmaker examines extensive footage found at the scene and arrives at a different conclusion.",1.399495,,United States of America,1998-10-23,0.0,86.0,English,Released,What actually happened that night In the Woods?,The Last Broadcast,5.1,28.0,,Stefan Avalos,1998,0.0
,34000000,"Drama, Family, Romance",68430,en,"Willard Young is a 10-year-old boy who is sent by his mother to stay with her best friend Lily Reed, who lives in the Delta shrimp-fishing country in a town called Paradise. Lily and her husband Ben have been living in an unmentioned emotional vacuum since the death of their own three year old boy. Willie makes friends with the local 9-year-old tomboy Billie Pike, who teaches him to be comfortable with himself. When Willard gains a handle on his own emotions, he can now help Lily and Ben to connect, overcome grief and rediscover themselves.",7.176726,"Touchwood Pacific Partners 1, Touchstone Pictures, Interscope Communications, Grand Highway Productions",United States of America,1991-09-18,18634643.0,111.0,English,Released,It would take a miracle to save their love... and that's just what they got.,Paradise,5.6,13.0,"Melanie Griffith, Elijah Wood, Thora Birch",Mary Agnes Donoghue,1991,0.5480777352941176
,5000000,"Action, Adventure, Drama, Thriller",10355,ko,"North Korea's 8th Special Forces hijacks a shipment of CTX, a potent new liquid explosive, and threatens South Korea as part of a plot to re-unify the two countries.Ryu and Lee, special agents of O.P., South Korea's secret intelligence service, attempt to track down the terrorists and find the CTX. Meanwhile Hee, the 8th's ultra-bad female sniper, resurfaces to wreak havoc and haunt Ryu.",7.036727,Samsung Entertainment,South Korea,1999-02-13,0.0,125.0,한국어/조선말,Released,,Shiri,6.0,41.0,"Han Seok-kyu, Choi Min-sik, Yunjin Kim",Kang Je-gyu,1999,0.0
,0,"Drama, Thriller",87677,en,A desperate writer fights for survival when the Mexican mob involves him in murder.,0.995424,,,1998-05-14,0.0,97.0,English,Released,It's High Noon in Hell,La Cucaracha,3.8,3.0,"Eric Roberts, Joaquim de Almeida, Victor Rivers",Jack Perez,1998,0.0
In China They Eat Dogs Collection,0,"Action, Comedy, Crime",250,da,An intent fast paced Danish dark comedy film about two separately motivated brothers who with their slightly psychopathic tendencies end up in a touchy situation. One brother gets in serious trouble after a bank robbery and begs the other brother for help.,5.06264,Steen Herdel Filmproduktion,Denmark,1999-09-10,0.0,91.0,"Dansk, English, Deutsch, ",Released,,In China They Eat Dogs,7.5,81.0,"Dejan Čukić, Kim Bodnia, Brian Patterson",Lasse Spang Olsen,1999,0.0
,0,Comedy,43267,en,"Based on the life of Frank Pesce (Danny Aiello), an actor who won $6 million in the first New York State Lottery in 1976, this comedy focuses on the tight-knit Italian-American neighborhood in Brooklyn where Pesce grew up. It's also the story of how those gigantic winnings ended up becoming a curse of sorts (a case of ""be careful what you wish for"").",1.04741,,,1991-11-01,0.0,101.0,Italiano,Released,There's no telling where luck will take you,29th Street,7.0,5.0,"Anthony LaPaglia, Danny Aiello, Lainie Kazan",George Gallo,1991,0.0
,0,"Drama, Comedy",54715,en,A female buddy story in which Meg Tilly plays a child-like 20-something who has just walked out on her abusive husband. Darly (Christine Lahti) is fleeing a life as a waitress and stripper and is on her way to Alaska to claim a home and family she abandoned eighteen years earlier after giving birth. The two run into each other on the road and Darly welcomes the company as they head north from Wyoming.,0.945706,"Universal Pictures, Mirage Entertainment",United States of America,1992-04-29,0.0,110.0,English,Released,Sometimes the only way to find where you're going is to lose your way,Leaving Normal,6.0,7.0,"Christine Lahti, Meg Tilly, Patrika Darbo",Edward Zwick,1992,0.0
,0,Documentary,51182,en,"The documentary follows Annabel Cong, former record holder for the world's largest gang bang, which she set in 1995 by having sex with 70 men. It focuses on her reasons for working in porn, and her relationship with friends and family. The documentary reveals to the viewers that she was gang raped as a student living in London and describes her many complex emotional issues, including signs of depression, self harm, and substance abuse. The film also includes footage of a painful conversation in Singapore between Annabel and her mother, who until then didn't know about her daughter's porn career.",0.119021,,United States of America,1999-02-11,0.0,86.0,English,Released,,Sex: The Annabel Chong Story,5.3,3.0,"Annabel Chong, Ron Jeremy, Jim South",Gough Lewis,1999,0.0
,0,Documentary,45042,en,"In 1995, at the urging of her then-husband, an Oklahoma housewife submitted a topless photo of herself to a men's magazine, thus launching her phenomenal career as porn star Stacy Valentine. In this eye-opening and refreshingly even-handed film, Valentine candidly discusses the inner-workings and occupational hazards of the adult entertainment world, touching on the glamour -- and frequent emptiness -- of life in ""the business.""",1.061409,"Berns Brothers Productions, Cafe Sisters Productions",United States of America,1999-06-16,0.0,82.0,English,Released,From housewife to porn star,The Girl Next Door,5.1,4.0,"Stacy Valentine, Jack Gallagher, Veronica Hart",Christine Fugate,1999,0.0
,0,"Action, Drama",16219,en,A story of two teenagers trapped in the world of illegal underground boxing. One is fighting to save his fathers life and using the money pay off gambling debts accumulated by his father. The second is fighting for the money to get out of the ghettos. While being exploited by a boxing promoter the two teens become friends. An explosive ending puts the two friends in the ring against each other.,2.660772,"Columbia Pictures Corporation, Price Entertainment",United States of America,1992-03-06,9.0,101.0,English,Released,Nobody owns Tommy Riley. Nobody.,Gladiator 1992,5.7,28.0,"James Marshall, T.E. Russell, Cuba Gooding Jr.",Rowdy Herrington,1992,0.0
Dead or Alive Collection,0,"Action, Thriller, Crime, Drama",11315,ja,Ryūichi and his small gang of Triad vie for control of the Japanese underworld in a crime-ridden Shinjuku quarter while Detective Jojima tries to bring it down. Jojima attempts to start a gang war between the Triad and yakuza. Ryūichi and Jojima meet.,0.740949,,Japan,1999-11-27,0.0,105.0,日本語,Released,,Dead or Alive,6.4,34.0,"Riki Takeuchi, Sho Aikawa, Renji Ishibashi",Takashi Miike,1999,0.0
,0,"Animation, Science Fiction, Thriller",823,ja,"A member of an elite paramilitary counter-terrorism unit becomes traumatized after witnessing the suicide bombing of a young girl and is forced to undergo retraining. However, unbeknownst to him, he becomes a key player in a dispute between rival police divisions, as he finds himself increasingly involved with the sister of the girl he saw die.",5.993402,"Bandai Visual Company, Production I.G.",Japan,1999-11-17,0.0,102.0,日本語,Released,,Jin-Roh: The Wolf Brigade,7.4,82.0,"Yoshikatsu Fujiki, Sumi Mutou, Hiroyuki Kinosha",Hiroyuki Okiura,1999,0.0
,0,"Crime, Drama",20289,en,"Undercover cop Jim Raynor (Jason Patric) is a seasoned veteran. His partner, Kristen Cates (Jennifer Jason Leigh), is lacking in experience, but he thinks she's tough enough to work his next case with him: a deep cover assignment to bring down the notoriously hard-to-capture drug lord Gaines (Gregg Allman). While their relationship turns romantic during the assignment, they also turn into junkies, and will have to battle their own addictions if they want to bring down Gaines once and for all.",10.584954,"The Zanuck Company, Metro-Goldwyn-Mayer (MGM)",United States of America,1991-12-22,0.0,120.0,English,Released,How far do they go before they've gone too far?,Rush,6.9,43.0,"Jason Patric, Jennifer Jason Leigh, Sam Elliott",Lili Fini Zanuck,1991,0.0
,36000000,"Drama, Romance",51515,en,"Martin and Hazel Quarrier are small-town fundamentalist missionaries sent to the jungles of South America to convert the Indians. Their remote mission was previously run by the Catholics, before the natives murdered them all. They are sent by the pompous Leslie Huben, who runs the missionary effort in the area but who seems more concerned about competing with his Catholic 'rivals' than in the Indians themselves. Hazel is terrified of the Indians while Martin is fascinated. Soon American pilot Lewis Moon joins the Indian tribe but is attracted by Leslie's young wife, Andy. Can the interaction of these characters and cultures, and the advancing bulldozers of civilization, avoid disaster?",2.151436,"Universal Pictures, The Saul Zaentz Company","Brazil, United States of America",1991-12-06,1345903.0,189.0,English,Released,"An adventure beyond the limits of civilization, faith and passion.",At Play in the Fields of the Lord,5.8,11.0,"Tom Berenger, John Lithgow, Daryl Hannah",Hector Babenco,1991,0.037386194444444444
,0,Family,38348,en,"The children of Ballydowse and Carrickdowse engage in battles where they cut of the buttons, shoe-laces and underwear of their captured opponents. This is to get the boys in trouble with their parents. They go to battle in mass groups of dozens, throwing stones and cutting off their opponents buttons etc. And sometimes they go to battle completely naked and exposed. In one such scene about 30 boys return from a battle to celebrate victory at a barn-house only to find some girls waiting for them and they get very embarrassed at losing their privacy",2.166408,"Hugo Films, Enigma Productions, Fujisankei Communication Group","France, Japan, United Kingdom",1994-09-29,0.0,94.0,English,Released,Most wars last years. This one has to be over by dinner,War of the Buttons,7.2,21.0,"Liam Cunningham, Colm Meaney, Ger Ryan",John Roberts,1994,0.0
Teenage Apocalypse Trilogy,0,"Comedy, Drama",33560,en,"Life really sucks for a group of gay and lesbian teenagers living in Los Angeles. Their parents kicked them out, they're broke and bored, their lovers cheat on them, and they're harassed by fag-bashers. If things are going to be this way, maybe suicide isn't a bad idea; at least not in the mind of Andy, our major protagonist, who gives the film its title by describing himself as ""totally fucked up"".",1.520025,Blurco,United Kingdom,1993-01-12,0.0,78.0,English,Released,,Totally Fucked Up,6.5,12.0,"James Duval, Roko Belic, Susan Behshid",Gregg Araki,1993,0.0
,0,"Comedy, Action, Thriller",25224,en,"Trapped in a Elite School which a gang of criminals has seized control, a young troublemaker fights a cat and mouse battle from inside.",6.963206,Columbia Pictures,United States of America,1997-08-22,0.0,106.0,English,Released,The criminal mastermind of the century just met his match...,Masterminds,4.1,13.0,"Patrick Stewart, Vincent Kartheiser, Brenda Fricker",Roger Christian,1997,0.0
,19000000,"Fantasy, Comedy, Drama, Romance",11044,en,"An Innuit hunter races his sled home with a fresh-caught halibut. This fish pervades the entire film, in real and imaginary form. Meanwhile, Axel tags fish in New York as a naturalist's gofer. He's happy there, but a messenger arrives to bring him to Arizona for his uncle's wedding. It's a ruse to get Axel into the family business. In Arizona, Axel meets two odd women: vivacious, needy, and plagued by neuroses and familial discord. He gets romantically involved with one, while the other, rich but depressed, plays accordion tunes to a gaggle of pet turtles",5.465995,"Hachette Première, Canal+, Constellation, Union Générale Cinématographique (UGC)","France, United States of America",1993-01-06,0.0,142.0,English,Released,A rebellious young man. With his own version of the future. And his own fantasy of love.,Arizona Dream,7.2,170.0,"Johnny Depp, Jerry Lewis, Faye Dunaway",Emir Kusturica,1993,0.0
,0,"Drama, Music, Romance",5071,fr,A man is looking for a singer he had heard on cassette. He finds much more.,1.481076,"Le Studio Canal+, Centre National de la Cinématographie",France,1997-08-10,0.0,102.0,"Français, Română",Released,,The Crazy Stranger,7.8,19.0,"Romain Duris, Rona Hartner, Izidor Serban",Tony Gatlif,1997,0.0
